Firstname,Lastname,Gmail,Mobilenumber,Birthday
Jens,Andreasson,jens.andreasson@gmail.com,90936245,19801204
Kaj,Schmidt,kaj.schmidt@gmail.com,90234560,19750110
Nichlas,Granath,nichlas.granath@gmail.com,90956513,19850112
Simon,Karlson,simon.karlson@gmail.com,90876254,19900509
Sara,Packman,sara.packman@gmail.com,90897832,19652503
Jorgen,Andersson,jorgen.andersson@gmail.com,90652765,19691807
Rebecka,Persson,rebecka.persson@gmail.com,90387672,20002609
Hilda,Westerlind,hilda.westerlind@gmail.com,90897234,19700912
Annika,Stubb,annika.stubb@gmail.com,90876423,19602104
David,Nilsson,david.nilsson@gmail.com,90735173,20010709
Jane,Big,jane.big@gmail.com,90672353,19990911
Jackie,Chan,jacki.chan@gmail.com,90876736,19501908
Simon,Sandberg,simon.sandberg@gmail.com,90906030,19901201
Philip,Lindberg,philip.lindberg@gmail.com,90242450,19950210
Krister,Haggstrom,krister.haggstrom@gmail.com,90284639,19402703
Klara,Nilsson,klara.nilsson@gmail.com,90297307,19301205
Petra,Backman,petra.backman@gmail.com,90305070,19002012
Jusof,Linder,jusof.linder@gmail.com,90100163,20090509
Martin,Stronsjo,martin.stromsjo@gmail.com,90562846,19490611
Martina,Lindberg,martina.lindberg@gmail.com,90836548,19730712
